Semestre,Matière
Semestre 1,Algèbre 1
Semestre 1,Analyse 1 
Semestre 1,Base de données 
Semestre 1,Programmation C 
Semestre 1,Anglais 1
Semestre 1,Atelier Programmation R
Semestre 1,Séminaire 1
Semestre 2,Algèbre 2
Semestre 2,Analyse 2
Semestre 2,SGBD
Semestre 2,Système d’information d’aide à la décision
Semestre 2,Anglais 2
Semestre 2,Atelier de programmation Python 1
Semestre 2,Séminaire 2
Semestre 3,Algèbre 3
Semestre 3,Analyse 3 
Semestre 3,Intelligence artificielle 
Semestre 3,Programmation C Avancé 
Semestre 3,Atelier Python 2 
Semestre 3,Anglais 3 
Semestre 3,Séminaire 3
Semestre 4,Recherche Opérationnelle
Semestre 4,Analyse 4
Semestre 4,Introduction Big DATA
Semestre 4,Programmation OO
Semestre 4,Projet professionnel personnel
Semestre 4,Atelier de programmation Python 3
Semestre 4,Séminaire 4
Semestre 5,Probabilités
Semestre 5,Calcul différentiel
Semestre 5,Mathématiques discrètes
Semestre 5,Analyse des données
Semestre 5,Gestion de carrière
Semestre 5,Atelier Data Science
Semestre 5,Séminaire 5
Semestre 6,Analyse numérique
Semestre 6,Statistiques
Semestre 6,Equations différentielles
Semestre 6,Projet fin d’études
