Semestre,Matière
Période d’Harmonisation,Probabilités et analyse statistique
Période d’Harmonisation,Atelier de programmation et introduction aux SI
Période d’Harmonisation,Introduction au management et gestion de Projets
Période d’Harmonisation,Anglais
Période d’Harmonisation,Français
Période d’Harmonisation,Séminaires
Semestre 1,Architecture des systèmes d’information
Semestre 1,Management des systèmes d’information
Semestre 1,Digital technology & business value
Semestre 1,Management stratégique et transition digitale
Semestre 1,e-Business
Semestre 1,Droit du numérique
Semestre 1,Anglais
Semestre 1,Efficacité professionnelle et développement personnel
Semestre 1,Séminaires métiers I
Semestre 1,Projet intégréI
Semestre 2,Management des projets et conduite du changement
Semestre 2,Veille et intelligence technologique
Semestre 2,Transformation digitale & supply chain
Semestre 2,Web marketing
Semestre 2,Business process management
Semestre 2,Analyse des données et prise de décision
Semestre 2,Outillage en machine learning
Semestre 2,Projet intégré II
Semestre 2,Anglais II
Semestre 2,Compétences personnelles et relationnelles
Semestre 2,Séminaires métiersII
Semestre 3,SI décisionnels et Big Data
Semestre 3,"Solution SI : ERP, CRM & BI"
Semestre 3,Gouvernance et audit des SI
Semestre 3,Big Data et gouvernance des données personnelles
Semestre 3,Management des équipes et transition digitale
Semestre 3,Management interculturel
Semestre 3,Analyse et conception des SI
Semestre 3,Modélisation des DataWarehouse
Semestre 4,Stage en entreprise (PFE)
