Section,Contenu
Métiers,"Responsable de la Transformation Digital :Chief Digital Officer, Responsable Stratégie Digitale"
Métiers,"Chef de Projet Digital :Digital Account Executive, IT Project Manager, Chef de Produit / Service, Manager des Actifs Numériques."
Métiers,"Consultant en Systèmes d’Information :Consultant ERP, Consultant IT, Consultant CRM"
Secteurs d’activité,Entreprises de services numériques
Secteurs d’activité,Sociétés de conseil
Secteurs d’activité,Banques & Assurances
Secteurs d’activité,BTP
Secteurs d’activité,Technologies de l’information et des communications.
Partenariats professionnels,> Opérateur de télécommunication
Partenariats professionnels,> Banques et Assurances
